States/UTs,Sub centre,PHCs,CHCs
Andhra Pradesh,7458,1147,193
Arunachal Pradesh,312,143,63
Assam,4621,1014,158
Bihar,9949,1899,150
Chhattisgarh,5186,785,169
Goa,214,24,4
Gujarat,9082,1392,363
Haryana,2589,366,112
Himachal Pradesh,2083,538,89
Jammu & Kashmir,2967,637,84
Jharkhand,3848,297,188
Karnataka,9381,2359,206
Kerala,5380,849,232
Madhya Pradesh,9192,1171,309
Maharashtra,10580,1814,360
Manipur,421,85,17
Meghalaya,436,109,27
Mizoram,370,57,9
Nagaland,396,126,21
Odisha,6688,1280,370
Punjab,2950,432,151
Rajasthan,14406,2079,579
Sikkim,147,24,2
Tamil Nadu,8712,1362,385
Telangana,4797,689,114
Tripura,987,93,21
Uttarakhand,1847,257,60
Uttar Pradesh,20521,3621,822
West Bengal,10369,914,349
A & N Islands,123,22,4
Chandigarh,17,3,2
D &N Haveli,71,9,2
Daman & Diu,26,4,2
Delhi,10,5,0
Lakshadweep,14,4,3
Puducherry,81,40,4
All India,156231,25650,5624
