Date,State,District,Disease,Cases,Deaths
2023-01-01,Maharashtra,Dharashiv,Dengue,12,0
2023-01-08,Maharashtra,Dharashiv,Dengue,8,0
2023-01-15,Maharashtra,Dharashiv,Dengue,3,0
2023-01-22,Maharashtra,Dharashiv,Dengue,4,0
2023-01-29,Maharashtra,Dharashiv,Dengue,6,0
2023-02-05,Maharashtra,Dharashiv,Dengue,4,0
2023-02-12,Maharashtra,Dharashiv,Dengue,6,0
2023-02-19,Maharashtra,Dharashiv,Dengue,7,0
2023-02-26,Maharashtra,Dharashiv,Dengue,6,0
2023-03-05,Maharashtra,Dharashiv,Dengue,1,0
2023-03-12,Maharashtra,Dharashiv,Dengue,2,0
2023-03-19,Maharashtra,Dharashiv,Dengue,8,0
2023-03-26,Maharashtra,Dharashiv,Dengue,7,0
2023-04-02,Maharashtra,Dharashiv,Dengue,9,0
2023-04-09,Maharashtra,Dharashiv,Dengue,7,0
2023-04-16,Maharashtra,Dharashiv,Dengue,31,1
2023-04-23,Maharashtra,Dharashiv,Dengue,10,0
2023-04-30,Maharashtra,Dharashiv,Dengue,17,0
2023-05-07,Maharashtra,Dharashiv,Dengue,17,0
2023-05-14,Maharashtra,Dharashiv,Dengue,19,0
2023-05-21,Maharashtra,Dharashiv,Dengue,20,0
2023-05-28,Maharashtra,Dharashiv,Dengue,18,0
2023-06-04,Maharashtra,Dharashiv,Dengue,21,0
2023-06-11,Maharashtra,Dharashiv,Dengue,28,0
2023-06-18,Maharashtra,Dharashiv,Dengue,25,0
2023-06-25,Maharashtra,Dharashiv,Dengue,24,0
2023-07-02,Maharashtra,Dharashiv,Dengue,119,1
2023-07-09,Maharashtra,Dharashiv,Dengue,32,0
2023-07-16,Maharashtra,Dharashiv,Dengue,35,0
2023-07-23,Maharashtra,Dharashiv,Dengue,33,1
2023-07-30,Maharashtra,Dharashiv,Dengue,36,0
2023-08-06,Maharashtra,Dharashiv,Dengue,32,0
2023-08-13,Maharashtra,Dharashiv,Dengue,30,1
2023-08-20,Maharashtra,Dharashiv,Dengue,33,1
2023-08-27,Maharashtra,Dharashiv,Dengue,31,0
2023-09-03,Maharashtra,Dharashiv,Dengue,37,1
2023-09-10,Maharashtra,Dharashiv,Dengue,30,1
2023-09-17,Maharashtra,Dharashiv,Dengue,33,1
2023-09-24,Maharashtra,Dharashiv,Dengue,32,0
2023-10-01,Maharashtra,Dharashiv,Dengue,31,1
2023-10-08,Maharashtra,Dharashiv,Dengue,26,1
2023-10-15,Maharashtra,Dharashiv,Dengue,27,0
2023-10-22,Maharashtra,Dharashiv,Dengue,22,0
2023-10-29,Maharashtra,Dharashiv,Dengue,22,1
2023-11-05,Maharashtra,Dharashiv,Dengue,23,0
